"id","filename","format","mode","filesize","width","height","info","exif","md5hash","photohash","cons_folder"
1,"Acc1647 Item 11219 Plan1 (150dpi).jpg","JPEG","RGB",2094743,4687,3743,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","be8d79d4ea937ed31524ef5df7903f76","7d3d3d61010138fc","Cons 1647"
2,"Acc1647 Item 11219 Plan1 (75dpi).jpg","JPEG","RGB",571045,2343,1871,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","3ddf9cc5b20cc70c8a4e244e00da452e","fd3dbde1010138fc","Cons 1647"
3,"Acc1647 Item 11219 Plan2 (150dpi).jpg","JPEG","RGB",2307184,3911,3471,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","3db50844657b0f1edf4a20d1b42a10c9","7f0fc3a17b0d01f9","Cons 1647"
4,"Acc1647 Item 11219 Plan2 (75dpi).jpg","JPEG","RGB",690111,1959,1727,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","dd0e96c7e98219eceb3db1a023a53e77","7f0bc3e17b0d10f8","Cons 1647"
5,"Acc1647 Item 11219 Plan3 (150dpi).jpg","JPEG","RGB",5360552,7682,4769,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","947ac5666172d99132dbc4bc4e72acbe","00fcb0707cf820fc","Cons 1647"
6,"Acc1647 Item 11219 Plan3 (75dpi).jpg","JPEG","RGB",1420165,3854,2403,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","d7e335025fb535071079969ce97e5fd2","01f8b070fcf820fc","Cons 1647"
7,"Acc1647 Item 15605 (150dpi).jpg","JPEG","RGB",1609692,3167,2863,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","4f1269bf3b2e80e001e783499d00929d","f9f1e1e1e8f8f8f0","Cons 1647"
8,"Acc1647 Item 15605 (75dpi).jpg","JPEG","RGB",471189,1575,1447,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","cc009abfff6253dfa896c747e5283e4b","f9f1e1e1e8f8f8f0","Cons 1647"
9,"Acc1647 Item 2221 (150dpi).jpg","JPEG","RGB",1068472,3527,2679,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","2ed50fc3e7e4c267c3940b689c60553e","f7c70109ff40f9f8","Cons 1647"
10,"Acc1647 Item 2221 (75dpi).jpg","JPEG","RGB",307675,1763,1339,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","04534dbad81273028b15d3c7dbafef04","f7c50109ff40f8f8","Cons 1647"
11,"Acc1647 Item 26375 Drawing1 (150dpi).jpg","JPEG","RGB",1875587,3167,4335,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","a3899bd34002b0e6d5f5f4ebf8d7f680","c7efede3c78e0cf0","Cons 1647"
12,"Acc1647 Item 26375 Drawing1 (75dpi).jpg","JPEG","RGB",531902,1579,2171,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","82377cf1ef2edb0e4bbbecd64c8eba0a","c7efede3c78e8cf0","Cons 1647"
13,"Acc1647 Item 26375 Drawing2 (150dpi).jpg","JPEG","RGB",1845868,3167,4311,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","214afa83e31961409e1e61be555a6d79","c7e3cf870fcfcef0","Cons 1647"
14,"Acc1647 Item 26375 Drawing2 (75dpi).jpg","JPEG","RGB",525884,1571,2155,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","0e968cea1d24c031660bdd1406312378","c7e3c7878fcfcef0","Cons 1647"
15,"Acc1647 Item 26375 Drawing5 (150dpi).jpg","JPEG","RGB",1902381,3151,4351,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","6dfccacedf619e1bba837729f3e4abde","c1e1c7870fefeef0","Cons 1647"
16,"Acc1647 Item 26375 Drawing5 (75dpi).jpg","JPEG","RGB",538566,1567,2179,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","96cce41cfa5f8d73c354aceed9b43e5c","c1e1c7870feeeef0","Cons 1647"
17,"Acc1647 Item 3796 (150dpi).jpg","JPEG","L",8540569,8160,4975,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","9e59c44cc4ddd85277f9eef7d2e0443f","fd7c3dff5080c0ec","Cons 1647"
18,"Acc1647 Item 3796 (75dpi).jpg","JPEG","L",2636966,4075,2491,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","faa23de775155f3830235326de99489e","fd7c3dff4080c0fc","Cons 1647"
19,"Acc1647 Item 884 (150dpi).jpg","JPEG","RGB",978215,2335,2943,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","ce164f6fb997105088245c318ae81a3c","e9e1d3ffffc945c0","Cons 1647"
